Node1	-671.033447	68.000000	-257.949249
Node11	-650.201904	70.000000	-234.177139
Node110	-548.894897	76.000000	-226.132507
Node1100	507.695618	400.000000	511.825989
Node1101	87.744362	60.000000	-225.386612
Node1102	85.314583	68.000000	-192.411697
Node1103	62.512817	87.556892	-150.221558
Node1104	40.163811	114.000000	-107.920670
Node1105	23.121275	131.132507	-77.433746
Node1106	3.125252	144.000000	-42.160767
Node1107	-13.941023	150.000000	-15.882263
Node1108	-34.940731	152.000000	17.445232
Node1109	-45.619770	152.000000	75.531593
Node111	-519.797302	80.000000	-213.038422
Node1110	-42.624508	150.000000	120.072075
Node1111	-33.126106	146.000000	170.095352
Node1112	-41.002182	148.000000	224.953720
Node1113	-61.667656	150.000000	295.176147
Node1114	-87.651833	150.000000	337.990540
Node1115	-129.397461	148.000000	371.599823
Node1116	-169.892029	150.000000	410.915039
Node1117	-169.892029	150.000000	410.915039
Node1118	-200.768005	154.000000	448.539764
Node1119	-228.424637	160.000000	486.233978
Node112	-565.251099	72.000000	-260.226288
Node1120	-271.440094	162.000000	507.320892
Node1121	-314.606659	166.000000	527.364990
Node1122	-352.234406	174.000000	557.857056
Node1123	-393.399963	179.999985	586.820862
Node1124	-443.601044	178.000000	590.906860
Node1125	-487.917908	176.000000	593.072937
Node1126	-523.252197	178.000000	601.587158
Node1127	-542.110046	179.082642	607.541321
Node1128	-557.207642	182.000000	623.887268
Node1129	-568.872925	186.000000	640.754211
Node113	-548.472595	72.000000	-270.537384
Node1130	-578.240234	188.000000	659.377441
Node1131	-601.306091	188.000000	665.896301
Node1132	-615.085449	187.541138	655.770569
Node1133	-620.197144	184.000000	636.570068
Node1134	-612.686523	182.000015	621.329651
Node1135	-591.966431	182.000000	619.733276
Node1136	-579.333374	180.000000	611.047058
Node1137	-565.500793	178.000000	604.440674
Node1138	-589.738831	184.000000	637.236145
Node1139	-576.054016	184.000000	627.149109
Node114	-561.043335	69.999992	-291.082947
Node1140	-555.302856	176.000000	591.765625
Node1141	-558.507141	169.191528	567.595764
Node1142	-566.352051	161.387634	538.130310
Node1143	-570.084656	156.000000	516.750244
Node1144	-584.713867	165.427261	556.713623
Node1145	-542.222595	162.101807	543.050903
Node1146	-511.179840	182.000000	619.247375
Node1147	-507.361481	188.000000	643.362427
Node1148	-508.339020	192.000000	667.515259
Node1149	-486.488922	190.000000	658.583801
Node115	-580.507019	64.000000	-316.354126
Node1150	-484.883942	183.999985	627.901611
Node1151	-531.218628	174.000000	583.154358
Node1152	-516.347046	168.000015	563.976013
Node1153	35.178417	62.000000	-306.741699
Node1154	21.008892	62.000000	-344.855560
Node1155	13.484739	58.000000	-385.176758
Node1156	8.553583	52.000000	-424.128387
Node1157	4.808487	44.000000	-456.508789
Node1158	3.871604	34.000000	-492.569885
Node1159	3.559402	28.000000	-518.482849
Node116	-521.861511	72.000000	-276.977631
Node1160	7.866515	24.000000	-542.605286
Node1161	16.805290	22.000000	-563.198547
Node1162	26.931011	20.000000	-580.728760
Node1163	46.591534	20.000000	-591.782776
Node1164	66.231911	19.999998	-599.898132
Node1165	87.666489	20.000000	-606.026489
Node1166	111.755135	19.999998	-610.068115
Node1167	138.606277	20.000000	-614.218750
Node1168	170.662338	20.000000	-609.619934
Node1169	203.442230	22.000002	-593.136414
Node117	-494.405396	74.937073	-258.531464
Node1170	245.343307	24.000000	-581.979126
Node1171	279.169189	26.000000	-583.238281
Node1172	315.352234	30.000000	-576.242615
Node1173	348.022705	37.999996	-549.767395
Node1174	374.291870	47.999996	-522.082520
Node1175	390.346680	56.000000	-484.702271
Node1176	403.146606	58.000000	-474.018066
Node1177	442.355865	60.000000	-479.605591
Node1178	486.014526	59.537292	-498.231354
Node1179	524.529236	58.000000	-503.894653
Node118	-461.093353	76.000000	-250.573746
Node1180	551.894409	60.000000	-489.421204
Node1181	579.524475	60.000000	-489.550385
Node1182	594.514404	60.000000	-495.850952
Node1183	615.195068	62.000000	-508.892487
Node1184	619.839722	62.000000	-494.308441
Node1185	616.151733	62.000004	-479.436401
Node1186	594.896912	61.754299	-479.022034
Node1187	611.342285	64.000000	-465.927124
Node1188	631.936096	66.000000	-465.810242
Node1189	652.356506	70.000000	-460.545715
Node119	-434.322052	77.999992	-250.099945
Node1190	674.669617	74.000000	-461.792175
Node1191	660.933960	70.000000	-477.442413
Node1192	674.831421	71.976250	-484.070435
Node1193	662.965515	68.000000	-496.440765
Node1194	-15.291027	28.000000	-514.246033
Node1195	-36.606140	24.000000	-537.065979
Node1196	-46.084026	22.000000	-556.117188
Node1197	-56.441490	20.000000	-580.289673
Node1198	-61.880318	19.999998	-604.548218
Node1199	-43.245102	20.000000	-610.723999
Node12	-678.893433	66.000000	-237.058838
Node120	-401.283691	78.328308	-250.835846
Node1200	-21.202579	18.000000	-621.823547
Node1201	-2.674128	18.000000	-636.201843
Node1202	22.549931	18.000000	-646.591553
Node1203	48.801598	18.000000	-651.565979
Node1204	73.634903	18.000000	-653.182678
Node1205	93.463692	18.000000	-647.201294
Node1206	107.935524	20.000000	-628.107910
Node1207	81.916626	20.000000	-624.645081
Node1208	61.338333	20.000000	-619.880432
Node1209	40.914478	20.000000	-612.921387
Node121	-369.746368	78.326485	-267.356384
Node1210	20.041014	20.000000	-599.881775
Node1211	-7.706084	20.000000	-592.939880
Node1212	-33.889641	20.000000	-587.138672
Node1213	-25.380239	22.000000	-560.308899
